email,html
user1@example.com,"
<!DOCTYPE html>
<html>
<body style=""font-family:Arial; padding:20px; background:#f7f9fc;"">
<h2 style=""color:#3c1f7b;"">Лумос!</h2>
<p>Пусть новый год будет <b>полон чудес</b>, словно первое путешествие в Хогвартс.</p>
<p>Пусть этот год будет <i>волшебным</i>, как первое открытие тайной комнаты.</p>
<p>С уважением,<br>Магическая почта Хогвартса🧙✨</p>
</body>
</html>
"
user2@example.com,"
<!DOCTYPE html>
<html>
<body style=""font-family:Arial; padding:20px; background:#f7f9fc;"">
<h2 style=""color:#3c1f7b;"">Экспекто Патронум!</h2>
<p>Желаем <b>смелости Гарри и мудрости Дамблдора.</b></p>
<p>Пусть у Вас будет столько же <i>радости<i>, сколько у Хагрида — от новых существ.</p>
<p>С уважением,<br>Магическая почта Хогвартса🧙✨</p>
</body>
</html>
"
user3@example.com,"
<!DOCTYPE html>
<html>
<body style=""font-family:Arial; padding:20px; background:#f7f9fc;"">
<h2 style=""color:#3c1f7b;"">Письмо прилетело прямо из Хогвартса!</h2>
<p>Пусть <b>удача</b> будет с вами, как буто Вы пьёте зелье Феликс Фелицис.</p>
<p>Пусть ваш дом будет защищён так же надёжно, как Хогвартс чарами.</p>
<p>С уважением,<br>Магическая почта Хогвартса🧙✨</p>
</body>
</html>
"
user4@example.com,"
<!DOCTYPE html>
<html>
<body style=""font-family:Arial; padding:20px; background:#f7f9fc;"">
<h2 style=""color:#3c1f7b;"">Приветствуем, волшебник!</h2>
<p>Желаем <b>магии</b> в каждом дне и <i>тепла</i>, как в гостиной Гриффиндора.</p>
<p>Пусть трудности исчезают, словно после заклинания «Фините Инкантатем».</p>
<p>С уважением,<br>Магическая почта Хогвартса🧙✨</p>
</body>
</html>
"
user5@example.com,"
<!DOCTYPE html>
<html>
<body style=""font-family:Arial; padding:20px; background:#f7f9fc;"">
<h2 style=""color:#3c1f7b;"">Дорогой друг из мира магии!</h2>
<p>Пусть 2026 принесёт множество <b>счастливых<b> моментов.</p>
<p>Пусть ваши планы взлетают так же уверенно, как Хедвиг в ночном небе.</p>
<p>С уважением,<br>Магическая почта Хогвартса🧙✨</p>
</body>
</html>
"
user6@example.com,"
<!DOCTYPE html>
<html>
<body style=""font-family:Arial; padding:20px; background:#f7f9fc;"">
<h2 style=""color:#3c1f7b;"">Чародей, рады встрече!</h2>
<p>Желаем <b>исполнения желаний<b> и <i>финансового благополучия<i>.</p>
<p>Пусть ваши мечты исполняются так же ярко, как светится Кубок Огня.</p>
<p>С уважением,<br>Магическая почта Хогвартса🧙✨</p>
</body>
</html>
"
user7@example.com,"
<!DOCTYPE html>
<html>
<body style=""font-family:Arial; padding:20px; background:#f7f9fc;"">
<h2 style=""color:#3c1f7b;"">С наступающим от факультета Гриффиндор!</h2>
<p>Пусть каждый день нового года будет <b>светлым</b>, как чары Патронуса.</p>
<p>Пусть враги обходят стороной, как Пожиратели Смерти Патронусов.</p>
<p>С уважением,<br>Магическая почта Хогвартса🧙✨</p>
</body>
</html>
"
user8@example.com,"
<!DOCTYPE html>
<html>
<body style=""font-family:Arial; padding:20px; background:#f7f9fc;"">
<h2 style=""color:#3c1f7b;"">Тёплый привет из Хогсмида!</h2>
<p>Желаем <b>мира, гармонии и радости в доме.</b></p>
<p>Пусть <i>удача</i> будет липнуть к вам сильнее, чем мандрагоры к земле.</p>
<p>С уважением,<br>Магическая почта Хогвартса🧙✨</p>
</body>
</html>
"
user9@example.com,"
<!DOCTYPE html>
<html>
<body style=""font-family:Arial; padding:20px; background:#f7f9fc;"">
<h2 style=""color:#3c1f7b;"">Новогодняя сова прибыла с посланием</h2>
<p>Пусть весь год будет полон <b>улыбок и открытий.</b></p>
<p>Пусть дни будут полны <i>открытий<i/>, как коридоры Хогвартса.</p>
<p>С уважением,<br>Магическая почта Хогвартса🧙✨</p>
</body>
</html>
"
user10@example.com,"
<!DOCTYPE html>
<html>
<body style=""font-family:Arial; padding:20px; background:#f7f9fc;"">
<h2 style=""color:#3c1f7b;"">Магическое поздравление!</h2>
<p>Желаем <b>удачи</b> в каждом шаге.</p>
<p>Пусть каждый шаг будет <i>верным</i>, как выбор палочки в лавке Олливандера.</p>
<p>С уважением,<br>Магическая почта Хогвартса🧙✨</p>
</body>
</html>
"
